Catalog #,Species,Personal ID,Latitude,Longitude,County,State,Prop of dorsum red,Prop of dorsum black,SVL (cm),TL (cm)
113893,C. coccinea (East),Cc366,30.1596,-84.9972,Jackson,Florida,0.434623883,0.399750216,31.227,36.569
27401,C. coccinea (East),Cc536,33.19,-79.57,Berkeley,South Carolina,0.404093033,0.411854756,37.234,43.313
158702,C. coccinea (East),Cc358,30.14537,-85.14267,Gulf,Florida,0.426831713,0.384233738,39.908,46.175
203080,C. coccinea (East),Cc241,30.17634,-84.98533,Liberty,Florida,0.39472733,0.391170797,33.61644864,38.4348816
203081,C. coccinea (East),Cc242,30.17634,-84.98533,Liberty,Florida,0.299581462,0.519070862,31.99777757,36.72371364
114029,C. coccinea (East),Cc446,30.03257,-84.49039,Wakulla,Florida,0.255900979,0.519507551,45.162,50.866
144036,C. coccinea (East),Cc449,30.03257,-84.49039,Wakulla,Florida,0.439662987,0.368083329,56.259,65.317
114015,C. coccinea (East),Cc450,30.03257,-84.49039,Wakulla,Florida,0.316088742,0.398276826,51.881,59.303
113998,C. coccinea (East),Cc451,30.02338,-84.44468,Wakulla,Florida,0.435463659,0.41833751,28.728,33.378
27400,C. coccinea (East),Cc533,33.23,-79.63,Berkeley,South Carolina,0.526038896,0.33283088,33.834,38.779
27408,C. coccinea (East),Cc535,33.23,-79.63,Berkeley,South Carolina,0.556093624,0.341750259,17.346,19.881
114039,C. coccinea (East),Cc445,30.03473,-84.46215,Wakulla,Florida,0.321807831,0.421819449,43.035,50.317
114040,C. coccinea (East),Cc448,30.03473,-84.46215,Wakulla,Florida,0.457852156,0.370392118,30.654,36.367
41522,C. coccinea (East),Cc974,32.749,-79.9,Charleston,South Carolina,0.361504305,0.451487869,40.763,47.345
142711,C. coccinea (East),Cc370,30.002075,-83.185075,Lafayette,Florida,0.321076019,0.449345382,33.531,39.061
142712,C. coccinea (East),Cc371,30.002075,-83.185075,Lafayette,Florida,0.436439268,0.361464226,30.05,34.396
2307,C. coccinea (East),Cc843,32.776,-79.93,Charleston,South Carolina,0.487011263,0.319086806,26.369,31.015
113967,C. coccinea (East),Cc435,30.03731,-83.019838,Suwannee,Florida,0.320370606,0.501848782,23.529,27.404
113968,C. coccinea (East),Cc436,30.03731,-83.019838,Suwannee,Florida,0.363134883,0.395905692,24.473,28.069
113966,C. coccinea (East),Cc437,30.03731,-83.019838,Suwannee,Florida,0.235335868,0.543498099,39.45,45.739
113969,C. coccinea (East),Cc438,30.03731,-83.019838,Suwannee,Florida,0.170415986,0.568095178,23.871,27.672
113965,C. coccinea (East),Cc439,30.03731,-83.019838,Suwannee,Florida,0.384679063,0.366148752,15.704,18.191
128350,C. coccinea (East),Cc477,30.15666,-84.71281,Liberty,Florida,0.392993864,0.457863548,38.138,43.773
53854,C. coccinea (East),Cc200,30.17,-84.72,Liberty,Florida,0.459271616,0.362897747,36.1511999,42.37234897
